,story_id,temperature,evaluation_index,participant_id,novelty,typicality,cohesion,coherence,creativity,genai_familiarity,genai_comfort
66,xUDC,1.667,2,41646,3.129,2.989,4.019,1.123,2.815,5,3
67,y45U,1.667,3,41646,5.0,5.0,3.07,1.992,3.7655000000000003,5,3
68,M3G0,1.334,4,41646,5.0,5.0,2.029,4.083,4.0280000000000005,5,3
69,HIX9,0.667,5,41646,3.027,3.016,4.056,3.0,3.27475,5,3
70,h2Ze,1.667,1,65889,3.552,4.051,3.016,1.349,2.992,5,3
71,kZol,1.0,2,65889,5.0,4.078,4.56,1.0,3.6594999999999995,5,3
72,Y6zx,0.667,3,65889,1.466,5.0,2.571,1.306,2.58575,5,3
73,9ppk,1.0,4,65889,2.008,4.072,4.019,1.032,2.78275,5,3
74,GwhZ,0.334,5,65889,2.324,4.072,5.0,1.0,3.099,5,3
75,KleG,2.0,1,81305,2.989,4.421,4.582,1.483,3.3687500000000004,5,3
76,A7JT,0.001,2,81305,1.075,4.941,5.0,1.413,3.10725,5,3
77,-nc7,1.667,3,81305,1.965,4.035,4.845,1.118,2.99075,5,3
78,T96J,1.0,4,81305,4.158,4.952,4.914,1.322,3.8365,5,3
79,Mdt0,2.0,5,81305,5.0,4.019,4.957,1.0,3.7439999999999998,5,3
80,L9jp,0.334,1,87489,3.74,4.121,3.375,1.938,3.2935000000000003,4,2
81,1zjI,0.667,2,87489,2.48,1.981,2.898,1.343,2.1755,4,2
82,YHrP,0.667,3,87489,4.737,1.456,2.55,1.445,2.5469999999999997,4,2
83,xcX2,1.334,4,87489,4.051,1.182,3.483,2.442,2.7895000000000003,4,2
84,EXZH,0.334,5,87489,3.525,3.885,3.633,1.354,3.0992499999999996,4,2
85,aPfY,1.334,1,48524,1.633,2.97,1.454,1.609,1.9164999999999999,3,2
86,YoP9,0.334,2,48524,2.97,1.848,4.212,1.0,2.5075000000000003,3,2
87,P0S3,1.667,3,48524,4.331,3.006,3.328,1.0,2.91625,3,2
88,Erj4,1.334,4,48524,2.039,3.101,3.818,1.0,2.4895,3,2
89,Xt1F,2.0,5,48524,3.03,4.403,4.296,1.0,3.18225,3,2
90,MLY9,1.0,1,17356,2.979,3.011,3.735,1.434,2.7897499999999997,3,4
91,1bEb,2.0,2,17356,3.595,3.086,2.609,2.496,2.9465,3,4
92,xUDC,1.667,3,17356,3.295,3.386,3.477,3.016,3.2935,3,4
93,y45U,1.667,4,17356,2.71,2.732,3.381,3.858,3.1702500000000002,3,4
94,M3G0,1.334,5,17356,2.871,3.316,1.649,1.574,2.3525,3,4
95,HIX9,0.667,1,77265,2.689,3.729,4.587,1.032,3.0092499999999998,5,3
96,0-wO,1.334,2,77265,1.161,2.727,2.367,1.44,1.92375,5,3
97,I-uK,0.334,3,77265,1.992,4.067,3.82,1.097,2.7439999999999998,5,3
98,SDh5,1.0,4,77265,3.799,1.617,4.169,1.735,2.83,5,3
99,Fws7,0.667,5,77265,1.08,5.0,3.611,1.027,2.6795,5,3
100,EXZH,0.334,1,11720,1.241,5.0,5.0,1.054,3.07375,5,4
101,KleG,2.0,2,11720,1.161,5.0,4.448,5.0,3.90225,5,4
102,A7JT,0.001,3,11720,1.0,5.0,5.0,1.0,3.0,5,4
103,-nc7,1.667,4,11720,1.0,5.0,5.0,1.0,3.0,5,4
104,T96J,1.0,5,11720,3.054,3.064,5.0,3.214,3.583,5,4
105,q_bk,2.0,1,55361,4.051,3.397,2.485,2.646,3.14475,4,2
106,h2Ze,1.667,2,55361,3.064,3.643,1.987,2.877,2.8927499999999995,4,2
107,kZol,1.0,3,55361,4.035,3.032,3.869,3.016,3.488,4,2
108,Y6zx,0.667,4,55361,1.198,2.898,3.531,3.788,2.8537500000000002,4,2
109,9ppk,1.0,5,55361,2.008,2.201,3.606,2.137,2.488,4,2
110,GwhZ,0.334,1,98864,1.461,3.654,4.072,3.0,3.0467500000000003,4,3
111,L9jp,0.334,2,98864,4.046,1.976,1.338,4.019,2.8447500000000003,4,3
112,1zjI,0.667,3,98864,3.021,2.56,3.027,3.847,3.11375,4,3
113,YHrP,0.667,4,98864,4.142,1.853,2.105,3.976,3.019,4,3
114,xcX2,1.334,5,98864,4.769,1.949,3.016,3.027,3.19025,4,3
115,Mdt0,2.0,1,42075,3.509,2.989,3.552,1.515,2.89125,3,4
116,aPfY,1.334,2,42075,2.995,3.595,5.0,1.0,3.1475,3,4
117,P0S3,1.667,3,42075,5.0,4.035,5.0,1.0,3.75875,3,4
118,YoP9,0.334,4,42075,3.869,3.976,5.0,1.0,3.46125,3,4
119,Erj4,1.334,5,42075,4.566,4.035,5.0,1.0,3.6502499999999998,3,4
120,Xt1F,2.0,1,26589,2.051,4.04,2.952,1.0,2.51075,3,3
121,MLY9,1.0,2,26589,2.008,1.944,2.936,1.005,1.97325,3,3
122,1bEb,2.0,3,26589,2.941,2.85,3.038,4.249,3.2695,3,3
123,xUDC,1.667,4,26589,2.941,2.158,3.091,2.989,2.7947500000000005,3,3
124,y45U,1.667,5,26589,2.93,2.957,2.046,2.008,2.4852499999999997,3,3
125,I-uK,0.334,1,23802,1.949,1.944,5.0,1.086,2.4947500000000002,4,5
126,SDh5,1.0,2,23802,1.928,3.07,1.944,4.105,2.76175,4,5
127,Fws7,0.667,3,23802,1.981,3.005,4.099,4.11,3.29875,4,5
128,q_bk,2.0,4,23802,1.928,4.056,5.0,1.059,3.01075,4,5
129,h2Ze,1.667,5,23802,1.038,5.0,5.0,1.0,3.0095,4,5
130,9ppk,1.0,1,47384,4.04,1.987,3.606,1.0,2.65825,4,4
131,GwhZ,0.334,2,47384,4.099,3.091,4.046,1.016,3.063,4,4
132,L9jp,0.334,3,47384,4.067,4.062,4.099,1.0,3.3070000000000004,4,4
133,1zjI,0.667,4,47384,3.048,3.858,5.0,1.016,3.2305,4,4
134,YHrP,0.667,5,47384,1.499,5.0,4.426,1.0,2.98125,4,4
135,M3G0,1.334,1,63893,1.354,2.507,1.981,3.574,2.354,3,3
136,HIX9,0.667,2,63893,3.075,2.158,4.196,2.003,2.858,3,3
137,0-wO,1.334,3,63893,4.673,3.043,3.568,2.383,3.4167500000000004,3,3
138,I-uK,0.334,4,63893,3.761,4.55,4.893,1.794,3.7495000000000003,3,3
139,SDh5,1.0,5,63893,3.011,2.019,2.619,3.016,2.6662500000000002,3,3
140,xcX2,1.334,1,54580,1.928,2.013,4.271,1.869,2.52025,3,3
141,EXZH,0.334,2,54580,2.828,3.032,4.491,1.944,3.0737499999999995,3,3
142,KleG,2.0,3,54580,5.0,2.233,3.064,1.96,3.0642500000000004,3,3
143,A7JT,0.001,4,54580,2.099,2.989,3.627,2.067,2.6955,3,3
144,-nc7,1.667,5,54580,3.987,2.989,4.121,2.383,3.37,3,3
145,Fws7,0.667,1,61174,4.029,2.989,3.032,3.032,3.2705,4,4
146,q_bk,2.0,2,61174,1.971,3.021,4.126,1.0,2.5295,4,4
147,h2Ze,1.667,3,61174,1.96,2.244,2.142,3.316,2.4154999999999998,4,4
148,kZol,1.0,4,61174,1.992,2.984,4.93,1.0,2.7264999999999997,4,4
